market,security,last_add,ticker,touches_defective_cell
China,KOOLEARN TECHNOLOGY HLDG,Nov22,,False
China,KWG PPTY HLDG,May18,,False
China,LAOBAIXING PHAR A (HK-C),Nov19,,False
China,LEGEND BIOTECH CORP ADR,Nov21,,False
China,LI AUTO ADR,Feb21,,False
China,LIAONING CHENG A (HK-C),May18,688739.SS,False
China,LOGAN PROPERTY HOLDINGS,May18,,False
China,LOMON BILLIONS A (HK-C),Nov19,,False
China,LONGFOR PROPERTIES CO,May10,,False
China,MATERIALS IND A (HK-C),Nov19,000909.SS,False
China,MEITUAN DIANPING B,Feb19,,False
China,MIDEA GROUP CO A (HK-C),Feb24,,False
China,MINISO GROUP HLDG ADR A,Feb23,,False
China,MOMO A ADR,May17,,False
China,MUYUAN FOODSTUFF A(HK-C),May18,,False
China,NANYANG TOPSEC A (HK-C),May20,,False
China,NAURA TECH GRP A (HK-C),Nov19,,False
China,NETDRAGON WEBSOFT,May08,0777.HK,False
China,NETEASE COM ADR,Nov15,,False
China,NEW ORIENTAL EDUCAT ADR,Nov15,,False
China,NEW WRLD CHNA LND(CN),Nov13,,False
China,NINGBO ZHOUSHAN A (HK-C),Aug19,601018.SS,False
China,NIO A ADR,May19,,False
China,O FILM TECH CO A (HK-C),May18,,False
China,ORIENT OVERSEAS (CN),May22,,False
China,ORIENT SEC CO A (HK-C),May18,,False
China,PACIFIC SEC A (HK-C),Nov19,,False
China,PEOPLE'S INS A (HK-C),Feb20,,False
China,PETROCHINA CO A (HK-C),May18,,False
China,PINDUODUO ADR A,Feb19,,False
China,POLY HNG KNG INVST(CN),Nov09,,False
China,POLY PROPERTY DEVLPT H,May20,,False
China,POLY REAL EST A (HK-C),May18,,False
China,QIAQIA FOOD CO A (HK-C),May20,,False
China,QIHOO 360 TECH A ADR,Nov15,,False
China,QINGDAO HAIER A (HK-C),May18,688139.SS,False
China,QUNAR CAYMAN ISLANDS ADR,Nov15,,False
China,RLX TECHNOLOGY ADR,Feb23,,False
China,SDIC POWER HLDGS A(HK-C),May23,,False
China,SERES GROUP CO A (HK-C),May23,,False
China,SHANDONG GOLD A (HK-C),May18,603586.SS,False
China,SHANDONG HONT A (HK-C),Feb26,,False
China,SHANDONG SINOC A (HK-C),Nov19,300285.SZ,False
China,SHANDONG WEIGAO GP MED H,May09,,False
China,SHANGHAI BAILIAN A(HK-C),May21,600827.SS,False
China,SHANGHAI BAOSIG A (HK-C),Nov19,900926.SS,False
China,SHANGHAI ELECT A (HK-C),Nov25,688660.SS,False
China,SHANGHAI INTL AI A(HK-C),May18,,False
China,SHANGHAI JAHWA A (HK-C),Nov19,600315.SS,False
China,SHANGHAI LUJIA. B SS(USD,Nov07,,False
China,SHANGHAI PHARM H                      KWG P,Nov11,,False
China,SHANGHAI PUDONG A (HK-C),May18,600284.SS,False
China,SHANGHAI ZHENHUA PORT- B,Nov07,,False
China,SHANXI XISHAN A (HK-C),May18,,False
China,SHENGYI ELECTS A (HK-C),Nov25,,False
China,SHENZHEN A (HK-C),Feb26,,False
China,SHENZHEN EVENWIN A(HK-C),Nov25,,False
China,SHENZHEN GREEN A (HK-C),Nov19,,False
China,SHENZHEN HUIDING A(HK-C),Nov19,,False
China,SHIMAO PROPERTY HLDGS,Nov06,,False
China,SIEYUAN ELECTRIC A(HK-C),Nov21,002028.SZ,False
China,SINA CORP,Nov16,,False
China,SINO-OCEAN LAND HLDGS,May08,,False
China,SINOCHEM HONG KONG,May06,,False
China,SMIC,Nov14,0981.HK,False
China,SOUFUN HOLDINGS ADR,Nov15,,False
China,SUN ART RETAIL GROUP                  LI NI,Nov11,,False
China,SUNAC CHINA HOLDINGS,May15,1918.HK,False
China,SUNING.COM CO A (HK-C),May18,002024.SZ,False
China,SUNWODA ELECTRS A (HK-C),Nov19,,False
China,SUZHOU A (HK-C),May26,002081.SZ,False
China,SUZHOU TA&A A (HK-C),Nov21,,False
China,TASLY PHARMA A (HK-C),May18,600535.SS,False
China,TCL CORP A (HK-C),Aug18,,False
China,TEBIAN ELEC APP A (HK-C),May18,,False
China,TENCENT HOLDINGS LIM(CN),May08,,False
China,TENCENT MUSIC ENT A ADR,Feb19,,False
China,TIANJIN ZHONHUA A (HK-C),Nov19,,False
China,TINGYI HOLDING CORP(CN),May08,,False
China,TONGHUA DONGBAO A (HK-C),May18,600867.SS,False
China,TSINGHUA UNISPL A (HK-C),May18,,False
China,TUS SOUND ENV A (HK-C),May18,,False
China,VENUSTECH GROUP A (HK-C),Nov19,002439.SZ,False
China,VINDA INTL HOLDINGS(CN),May20,,False
China,VIPSHOP HOLDINGS ADR,Nov15,,False
China,WANGFUJING GRP A (HK-C),Nov20,,False
China,WANHUA CHEM GRP A (HK-C),Aug19,,False
China,WESTONE INFO IND A(HK-C),Nov21,,False
China,WILL SC A (HK-C),Nov19,,False
China,WINGTECH TECH A (HK-C),Feb20,600745.SS,False
China,WONDERS INFO CO A (HK-C),May20,300168.SZ,False
China,WUHU SHUNRONG A (HK-C),May18,,False
China,WUXI LEAD INTG A (HK-C),May19,,False
China,WUXI SHANGJI A (HK-C),May21,,False
China,XIAOMI CORP B,Feb19,,False
China,XINAO GAS HOLDINGS,Nov09,,False
China,XINHU ZHONGBAO A (HK-C),May18,,False
China,XINJIANG GOLDW A (HK-C),May18,,False
China,YANGTZE OPTICAL A (HK-C),May26,688143.SS,False
China,YANZHOU COAL A (HK-C),May19,,False
China,YINGDE GASES GROUP CO                 MAANS,Nov11,,False
China,YINTAI RESOURCE A (HK-C),Nov19,,False
China,YOUKU TUDOU ADR,Nov15,,False
China,YOUNGOR GROUP A (HK-C),May20,,False
China,YTO EXPRESS GRP A (HK-C),Nov20,,False
China,YUZHOU PROPERTIES CO,May18,,False
